Gender,Age,Preferences,mobile_phone,Hours,Comm_teacher,Influence_lifestyle,Academic_performance
0,21,5,0,3,0,0,0
1,22,1,0,2,1,0,0
1,23,2,0,2,1,0,0
1,24,5,0,4,1,0,0
1,21,0,0,7,1,0,0
0,19,1,0,5,1,0,0
1,21,5,0,5,1,0,0
1,22,3,0,5,1,0,0
1,23,1,0,7,1,0,0
1,19,2,0,3,1,0,0
1,21,1,0,3,1,0,0
1,20,1,0,3,0,0,1
1,25,5,1,3,1,0,0
1,21,4,0,3,0,1,1
0,19,1,1,3,0,0,0
0,19,0,0,4,1,1,0
0,19,2,1,3,1,1,1
1,19,0,1,4,0,0,1
0,20,0,0,4,1,1,0
0,18,0,0,8,1,1,0
1,24,5,0,3,1,0,0
1,24,3,0,2,1,0,0
